"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3487","Позитивная проверка заказа самоката с двумя наборами данных","tests","Tue Mar 25 17:20:01 MSK 2025","passed","Tue Mar 25 17:20:04 MSK 2025","TestOrderPage","test_order_page","",""
"","276","Проверка перехода на главную страницу ""Самоката"" при нажатии на логотип ""Самокат""","tests","Tue Mar 25 17:20:14 MSK 2025","passed","Tue Mar 25 17:20:14 MSK 2025","TestLogoNavigation","test_order_page","",""
"","3408","Позитивная проверка заказа самоката с двумя наборами данных","tests","Tue Mar 25 17:19:46 MSK 2025","passed","Tue Mar 25 17:19:50 MSK 2025","TestOrderPage","test_order_page","",""
"","299","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:18:07 MSK 2025","passed","Tue Mar 25 17:18:08 MSK 2025","TestImportantQuestions","test_home_page","",""
"","334","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:18:30 MSK 2025","passed","Tue Mar 25 17:18:30 MSK 2025","TestImportantQuestions","test_home_page","",""
"","3654","Проверка перехода на главную страницу ""Дзена"" при нажатии на логотип Яндекса","tests","Tue Mar 25 17:20:45 MSK 2025","passed","Tue Mar 25 17:20:48 MSK 2025","TestLogoNavigation","test_order_page","",""
"","297","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:18:41 MSK 2025","passed","Tue Mar 25 17:18:41 MSK 2025","TestImportantQuestions","test_home_page","",""
"","330","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:17:56 MSK 2025","passed","Tue Mar 25 17:17:56 MSK 2025","TestImportantQuestions","test_home_page","",""
"","325","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:19:35 MSK 2025","passed","Tue Mar 25 17:19:36 MSK 2025","TestImportantQuestions","test_home_page","",""
"","291","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:18:19 MSK 2025","passed","Tue Mar 25 17:18:19 MSK 2025","TestImportantQuestions","test_home_page","",""
"","296","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:19:24 MSK 2025","passed","Tue Mar 25 17:19:24 MSK 2025","TestImportantQuestions","test_home_page","",""
"","302","Проверка показа соответствующего ответа на вопрос","tests","Tue Mar 25 17:19:12 MSK 2025","passed","Tue Mar 25 17:19:13 MSK 2025","TestImportantQuestions","test_home_page","",""
