"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:43:12 MSK 2025","passed","Mon Mar 24 21:43:13 MSK 2025","TestImportantQuestions","test_home_page","",""
"","3120","Позитивная проверка заказа самоката с двумя наборами данных","tests","Mon Mar 24 21:45:08 MSK 2025","passed","Mon Mar 24 21:45:11 MSK 2025","TestOrderPage","test_order_page","",""
"","3096","Позитивная проверка заказа самоката с двумя наборами данных","tests","Mon Mar 24 21:45:25 MSK 2025","passed","Mon Mar 24 21:45:28 MSK 2025","TestOrderPage","test_order_page","",""
"","289","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:44:05 MSK 2025","passed","Mon Mar 24 21:44:06 MSK 2025","TestImportantQuestions","test_home_page","",""
"","290","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:44:55 MSK 2025","passed","Mon Mar 24 21:44:55 MSK 2025","TestImportantQuestions","test_home_page","",""
"","294","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:43:27 MSK 2025","passed","Mon Mar 24 21:43:27 MSK 2025","TestImportantQuestions","test_home_page","",""
"","228","Проверка перехода на главную страницу ""Самоката"" при нажатии на логотип ""Самокат""","tests","Mon Mar 24 21:45:42 MSK 2025","passed","Mon Mar 24 21:45:42 MSK 2025","TestLogoNavigation","test_order_page","",""
"","286","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:43:53 MSK 2025","passed","Mon Mar 24 21:43:53 MSK 2025","TestImportantQuestions","test_home_page","",""
"","291","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:43:40 MSK 2025","passed","Mon Mar 24 21:43:40 MSK 2025","TestImportantQuestions","test_home_page","",""
"","2069","Проверка перехода на главную страницу ""Дзена"" при нажатии на логотип Яндекса","tests","Mon Mar 24 21:45:54 MSK 2025","passed","Mon Mar 24 21:45:56 MSK 2025","TestLogoNavigation","test_order_page","",""
"","301","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:42:59 MSK 2025","passed","Mon Mar 24 21:42:59 MSK 2025","TestImportantQuestions","test_home_page","",""
"","292","Проверка показа соответствующего ответа на вопрос","tests","Mon Mar 24 21:44:20 MSK 2025","passed","Mon Mar 24 21:44:20 MSK 2025","TestImportantQuestions","test_home_page","",""
